60/61,6.speeldag,16 okt. 1960,15:00,Vervié,Stade Verviétois,1:0,RUSG,Union Saint-Gilloise
60/61,7.speeldag,23 okt. 1960,15:00,Standard Luik,Standard Luik,2:1,RSCA,RSC Anderlecht
60/61,7.speeldag,23 okt. 1960,15:00,Aalst,KSC Eendracht Aalst,3:1,FCB,Club Brugge
60/61,7.speeldag,23 okt. 1960,15:00,RAFC,R Antwerp FC,4:1,Vervié,Stade Verviétois
60/61,7.speeldag,23 okt. 1960,15:00,DAR,Daring Club Brussel,0:0,Beers.,Royal Beerschot AC
60/61,7.speeldag,23 okt. 1960,15:00,KPaEis,K Patro Eisden,2:1,Waters,Waterschei SV THOR (- 1988)
60/61,7.speeldag,23 okt. 1960,15:00,Lierse,Lierse SK (- 2018),1:0,Associ,Association Royale Athlétique Gent
60/61,7.speeldag,23 okt. 1960,15:00,STVV,Sint-Truidense VV,1:0,RFCL,RFC Luik
60/61,7.speeldag,23 okt. 1960,15:00,RUSG,Union Saint-Gilloise,1:0,Olympi,Olympic Charleroi
60/61,8.speeldag,6 nov. 1960,15:00,Beers.,Royal Beerschot AC,1:2,Standard Luik,Standard Luik
60/61,8.speeldag,6 nov. 1960,15:00,Associ,Association Royale Athlétique Gent,1:2,Aalst,KSC Eendracht Aalst
60/61,8.speeldag,6 nov. 1960,15:00,RSCA,RSC Anderlecht,2:2,Vervié,Stade Verviétois
60/61,8.speeldag,6 nov. 1960,15:00,Waters,Waterschei SV THOR (- 1988),3:1,RAFC,R Antwerp FC
60/61,8.speeldag,6 nov. 1960,15:00,RFCL,RFC Luik,1:1,FCB,Club Brugge
60/61,8.speeldag,6 nov. 1960,15:00,DAR,Daring Club Brussel,1:3,RUSG,Union Saint-Gilloise
60/61,8.speeldag,6 nov. 1960,15:00,Olympi,Olympic Charleroi,1:0,KPaEis,K Patro Eisden
60/61,8.speeldag,6 nov. 1960,15:00,Lierse,Lierse SK (- 2018),2:0,STVV,Sint-Truidense VV
60/61,9.speeldag,13 nov. 1960,15:00,Vervié,Stade Verviétois,0:1,RFCL,RFC Luik
60/61,9.speeldag,13 nov. 1960,15:00,STVV,Sint-Truidense VV,1:1,Olympi,Olympic Charleroi
60/61,9.speeldag,13 nov. 1960,15:00,Standard Luik,Standard Luik,2:1,Lierse,Lierse SK (- 2018)
60/61,9.speeldag,13 nov. 1960,15:00,Aalst,KSC Eendracht Aalst,3:1,Waters,Waterschei SV THOR (- 1988)
60/61,9.speeldag,13 nov. 1960,15:00,RUSG,Union Saint-Gilloise,0:2,RSCA,RSC Anderlecht
60/61,9.speeldag,13 nov. 1960,15:00,RAFC,R Antwerp FC,1:3,Associ,Association Royale Athlétique Gent
60/61,9.speeldag,13 nov. 1960,15:00,KPaEis,K Patro Eisden,0:1,Beers.,Royal Beerschot AC
60/61,9.speeldag,13 nov. 1960,15:00,FCB,Club Brugge,4:2,DAR,Daring Club Brussel
60/61,10.speeldag,27 nov. 1960,15:00,Associ,Association Royale Athlétique Gent,2:1,Standard Luik,Standard Luik
60/61,10.speeldag,27 nov. 1960,15:00,Beers.,Royal Beerschot AC,9:2,Aalst,KSC Eendracht Aalst
60/61,10.speeldag,27 nov. 1960,15:00,RSCA,RSC Anderlecht,3:2,RAFC,R Antwerp FC
60/61,10.speeldag,27 nov. 1960,15:00,Olympi,Olympic Charleroi,3:0,FCB,Club Brugge
60/61,10.speeldag,27 nov. 1960,15:00,DAR,Daring Club Brussel,2:0,Vervié,Stade Verviétois
60/61,10.speeldag,27 nov. 1960,15:00,RFCL,RFC Luik,3:1,KPaEis,K Patro Eisden
60/61,10.speeldag,27 nov. 1960,15:00,Lierse,Lierse SK (- 2018),3:2,RUSG,Union Saint-Gilloise
60/61,10.speeldag,27 nov. 1960,15:00,Waters,Waterschei SV THOR (- 1988),2:1,STVV,Sint-Truidense VV
60/61,11.speeldag,4 dec. 1960,14:45,Aalst,KSC Eendracht Aalst,2:0,KPaEis,K Patro Eisden
60/61,11.speeldag,4 dec. 1960,14:45,RFCL,RFC Luik,3:2,Beers.,Royal Beerschot AC
60/61,11.speeldag,4 dec. 1960,14:45,12 mrt. 1961,15:00,FCB,Club Brugge,2:0
60/61,11.speeldag,4 dec. 1960,14:45,STVV,Sint-Truidense VV,Waters,Waterschei SV THOR (- 1988),5:0
60/61,11.speeldag,4 dec. 1960,14:45,Olympi,Olympic Charleroi,12 mrt. 1961,RUSG,Union Saint-Gilloise
60/61,11.speeldag,4 dec. 1960,14:45,0:0,Standard Luik,19 mrt. 1961,15:00,RAFC
60/61,11.speeldag,4 dec. 1960,14:45,R Antwerp FC,2:1,Lierse,Lierse SK (- 2018),29 mrt. 1961
60/61,11.speeldag,4 dec. 1960,19:30,RSCA,RSC Anderlecht,1:0,DAR,Daring Club Brussel
60/61,11.speeldag,2 apr. 1961,15:00,Vervié,Stade Verviétois,2:2,Associ,Association Royale Athlétique Gent
60/61,12.speeldag,11 dec. 1960,14:45,STVV,Sint-Truidense VV,1:0,DAR,Daring Club Brussel
60/61,12.speeldag,11 dec. 1960,14:45,Vervié,Stade Verviétois,2:0,Lierse,Lierse SK (- 2018)
60/61,12.speeldag,11 dec. 1960,14:45,Standard Luik,Standard Luik,1:2,Waters,Waterschei SV THOR (- 1988)
60/61,12.speeldag,11 dec. 1960,14:45,Aalst,KSC Eendracht Aalst,2:2,RFCL,RFC Luik
60/61,12.speeldag,11 dec. 1960,14:45,KPaEis,K Patro Eisden,0:1,RSCA,RSC Anderlecht
60/61,12.speeldag,11 dec. 1960,14:45,RAFC,R Antwerp FC,1:0,Olympi,Olympic Charleroi
