60/61,17,15 jan. 1961,15:00,RFCL,RFC Luik,0,0,RSCA,RSC Anderlecht
60/61,17,15 jan. 1961,15:00,DAR,Daring Club Brussel,1,1,RAFC,R Antwerp FC
60/61,17,15 jan. 1961,15:00,Beers.,Royal Beerschot AC,2,0,Associ,Association Royale Athl�tique Gent
60/61,17,15 jan. 1961,15:00,FCB,Club Brugge,3,1,KPaEis,K Patro Eisden
60/61,17,15 jan. 1961,15:00,STVV,Sint-Truidense VV,1,0,RUSG,Union Saint-Gilloise
60/61,17,1 apr. 1961,17:00,Olympi,Olympic Charleroi,0,0,Lierse,Lierse SK (- 2018)
60/61,18,22 jan. 1961,15:00,Olympi,Olympic Charleroi,0,2,Standard Luik,Standard Luik
60/61,18,22 jan. 1961,15:00,RSCA,RSC Anderlecht,7,0,Aalst,KSC Eendracht Aalst
60/61,18,22 jan. 1961,15:00,RAFC,R Antwerp FC,3,1,RUSG,Union Saint-Gilloise
60/61,18,22 jan. 1961,15:00,Lierse,Lierse SK (- 2018),1,1,Beers.,Royal Beerschot AC
60/61,18,22 jan. 1961,15:00,Vervi�,Stade Vervi�tois,0,3,FCB,Club Brugge
60/61,18,22 jan. 1961,15:00,Associ,Association Royale Athl�tique Gent,0,1,DAR,Daring Club Brussel
60/61,18,22 jan. 1961,15:00,KPaEis,K Patro Eisden,0,0,STVV,Sint-Truidense VV
60/61,18,22 jan. 1961,15:00,RFCL,RFC Luik,0,1,Waters,Waterschei SV THOR (- 1988)
60/61,19,29 jan. 1961,15:00,Standard Luik,Standard Luik,4,0,KPaEis,K Patro Eisden
60/61,19,29 jan. 1961,15:00,Aalst,KSC Eendracht Aalst,1,0,Vervi�,Stade Vervi�tois
60/61,19,29 jan. 1961,15:00,Waters,Waterschei SV THOR (- 1988),2,4,RSCA,RSC Anderlecht
60/61,19,29 jan. 1961,15:00,FCB,Club Brugge,1,1,RAFC,R Antwerp FC
60/61,19,29 jan. 1961,15:00,Beers.,Royal Beerschot AC,3,1,Olympi,Olympic Charleroi
60/61,19,29 jan. 1961,15:00,DAR,Daring Club Brussel,2,2,Lierse,Lierse SK (- 2018)
60/61,19,29 jan. 1961,15:00,STVV,Sint-Truidense VV,3,2,Associ,Association Royale Athl�tique Gent
60/61,19,29 jan. 1961,15:00,RUSG,Union Saint-Gilloise,0,9,RFCL,RFC Luik
60/61,20,5 feb. 1961,15:00,Vervi�,Stade Vervi�tois,3,3,Standard Luik,Standard Luik
60/61,20,5 feb. 1961,15:00,Aalst,KSC Eendracht Aalst,2,0,RUSG,Union Saint-Gilloise
60/61,20,5 feb. 1961,15:00,RSCA,RSC Anderlecht,1,0,STVV,Sint-Truidense VV
60/61,20,5 feb. 1961,15:00,RAFC,R Antwerp FC,3,0,Beers.,Royal Beerschot AC
60/61,20,5 feb. 1961,15:00,Waters,Waterschei SV THOR (- 1988),2,1,FCB,Club Brugge
60/61,20,5 feb. 1961,15:00,RFCL,RFC Luik,0,0,DAR,Daring Club Brussel
60/61,20,5 feb. 1961,15:00,Lierse,Lierse SK (- 2018),1,0,KPaEis,K Patro Eisden
60/61,20,5 feb. 1961,15:00,Olympi,Olympic Charleroi,1,1,Associ,Association Royale Athl�tique Gent
60/61,21,12 feb. 1961,15:00,Standard Luik,Standard Luik,2,0,RFCL,RFC Luik
60/61,21,12 feb. 1961,15:00,STVV,Sint-Truidense VV,2,2,Aalst,KSC Eendracht Aalst
60/61,21,12 feb. 1961,15:00,Lierse,Lierse SK (- 2018),1,2,RSCA,RSC Anderlecht
60/61,21,12 feb. 1961,15:00,KPaEis,K Patro Eisden,2,0,RAFC,R Antwerp FC
