seizoen,speeldag,stand,ploeg,aantal_gespeelde_matchen,aantal_gewonnen_matchen,aantal_gelijkgespeelde_matchen,aantal_verloren_matchen,doelpunten,puntenverschil,punten
60/61,1.speeldag,1,RSC Anderlecht,1,1,0,0,7:0,7,2:0
60/61,1.speeldag,2,Waterschei THOR,1,1,0,0,5:0,5,2:0
60/61,1.speeldag,3,Standard Luik,1,1,0,0,2:0,2,2:0
60/61,1.speeldag,4,Eendracht Aalst,1,1,0,0,3:2,1,2:0
60/61,1.speeldag,5,RFC Luik,1,1,0,0,2:1,1,2:0
60/61,1.speeldag,5,Union SG,1,1,0,0,2:1,1,2:0
60/61,1.speeldag,5,Daring Club,1,1,0,0,2:1,1,2:0
60/61,1.speeldag,8,Beerschot AC,1,1,0,0,1:0,1,2:0
60/61,1.speeldag,9,Antwerp FC,1,0,0,1,2:3,-1,0:2
60/61,1.speeldag,10,ARA Gent,1,0,0,1,1:2,-1,0:2
60/61,1.speeldag,10,Club Brugge,1,0,0,1,1:2,-1,0:2
60/61,1.speeldag,10,K Patro Eisden,1,0,0,1,1:2,-1,0:2
60/61,1.speeldag,13,Verviétois,1,0,0,1,0:1,-1,0:2
60/61,1.speeldag,14,St-Truidense VV,1,0,0,1,0:2,-2,0:2
60/61,1.speeldag,15,Lierse SK,1,0,0,1,0:5,-5,0:2
60/61,1.speeldag,16,Olymp. Charleroi,1,0,0,1,0:7,-7,0:2
60/61,2.speeldag,1,Waterschei THOR,2,2,0,0,8:1,7,4:0
60/61,2.speeldag,2,Standard Luik,2,2,0,0,5:0,5,4:0
60/61,2.speeldag,3,Union SG,2,2,0,0,5:1,4,4:0
60/61,2.speeldag,4,RFC Luik,2,2,0,0,5:3,2,4:0
60/61,2.speeldag,4,Daring Club,2,2,0,0,5:3,2,4:0
60/61,2.speeldag,6,RSC Anderlecht,2,1,0,1,9:3,6,2:2
60/61,2.speeldag,7,ARA Gent,2,1,0,1,4:2,2,2:2
60/61,2.speeldag,8,Eendracht Aalst,2,1,0,1,3:5,-2,2:2
60/61,2.speeldag,9,Beerschot AC,2,1,0,1,1:3,-2,2:2
60/61,2.speeldag,10,Lierse SK,2,1,0,1,1:5,-4,2:2
60/61,2.speeldag,11,Club Brugge,2,0,1,1,2:3,-1,1:3
60/61,2.speeldag,11,K Patro Eisden,2,0,1,1,2:3,-1,1:3
60/61,2.speeldag,13,Antwerp FC,2,0,0,2,4:6,-2,0:4
60/61,2.speeldag,14,Verviétois,2,0,0,2,1:4,-3,0:4
60/61,2.speeldag,15,St-Truidense VV,2,0,0,2,0:5,-5,0:4
60/61,2.speeldag,16,Olymp. Charleroi,2,0,0,2,0:8,-8,0:4
60/61,3.speeldag,1,Daring Club,3,3,0,0,8:4,4,6:0
60/61,3.speeldag,2,RFC Luik,3,3,0,0,6:3,3,6:0
60/61,3.speeldag,3,Standard Luik,3,2,1,0,5:0,5,5:1
60/61,3.speeldag,4,Waterschei THOR,3,2,0,1,8:2,6,4:2
60/61,3.speeldag,5,Union SG,3,2,0,1,5:2,3,4:2
60/61,3.speeldag,6,Beerschot AC,3,2,0,1,4:3,1,4:2
60/61,3.speeldag,7,RSC Anderlecht,3,1,1,1,9:3,6,3:3
60/61,3.speeldag,8,Eendracht Aalst,3,1,1,1,3:5,-2,3:3
60/61,3.speeldag,9,ARA Gent,3,1,0,2,5:5,0,2:4
60/61,3.speeldag,10,Antwerp FC,3,1,0,2,5:6,-1,2:4
60/61,3.speeldag,11,Club Brugge,3,0,2,1,3:4,-1,2:4
60/61,3.speeldag,12,St-Truidense VV,3,1,0,2,2:5,-3,2:4
60/61,3.speeldag,13,Lierse SK,3,1,0,2,1:8,-7,2:4
60/61,3.speeldag,14,Verviétois,3,0,1,2,2:5,-3,1:5
60/61,3.speeldag,14,K Patro Eisden,3,0,1,2,2:5,-3,1:5
60/61,3.speeldag,16,Olymp. Charleroi,3,0,1,2,0:8,-8,1:5
60/61,4.speeldag,1,Daring Club,4,4,0,0,12:7,5,8:0
60/61,4.speeldag,2,RFC Luik,4,4,0,0,8:4,4,8:0
60/61,4.speeldag,3,Standard Luik,4,3,1,0,8:0,8,7:1
60/61,4.speeldag,4,RSC Anderlecht,4,2,1,1,12:4,8,5:3
60/61,4.speeldag,5,Eendracht Aalst,4,2,1,1,7:5,2,5:3
60/61,4.speeldag,6,Waterschei THOR,4,2,0,2,9:5,4,4:4
60/61,4.speeldag,7,ARA Gent,4,2,0,2,8:5,3,4:4
60/61,4.speeldag,8,Union SG,4,2,0,2,6:4,2,4:4
60/61,4.speeldag,9,Beerschot AC,4,2,0,2,5:7,-2,4:4
60/61,4.speeldag,10,Antwerp FC,4,1,1,2,5:6,-1,3:5
60/61,4.speeldag,11,Club Brugge,4,0,3,1,3:4,-1,3:5
60/61,4.speeldag,12,Olymp. Charleroi,4,1,1,2,4:9,-5,3:5
60/61,4.speeldag,13,St-Truidense VV,4,1,0,3,2:8,-6,2:6
60/61,4.speeldag,14,Lierse SK,4,1,0,3,4:12,-8,2:6
60/61,4.speeldag,15,K Patro Eisden,4,0,1,3,2:8,-6,1:7
60/61,4.speeldag,16,Verviétois,4,0,1,3,2:9,-7,1:7
60/61,5.speeldag,1,Standard Luik,5,4,1,0,13:2,11,9:1
60/61,5.speeldag,2,Daring Club,5,4,1,0,13:8,5,9:1
60/61,5.speeldag,3,RFC Luik,5,4,1,0,9:5,4,9:1
60/61,5.speeldag,4,RSC Anderlecht,5,2,2,1,14:6,8,6:4
60/61,5.speeldag,5,Union SG,5,3,0,2,11:6,5,6:4
60/61,5.speeldag,6,Beerschot AC,5,3,0,2,7:8,-1,6:4
60/61,5.speeldag,7,Waterschei THOR,5,2,1,2,9:5,4,5:5
60/61,5.speeldag,8,ARA Gent,5,2,1,2,9:6,3,5:5
60/61,5.speeldag,9,Eendracht Aalst,5,2,1,2,9:10,-1,5:5
60/61,5.speeldag,10,Club Brugge,5,0,4,1,3:4,-1,4:6
60/61,5.speeldag,11,Olymp. Charleroi,5,1,2,2,5:10,-5,4:6
60/61,5.speeldag,12,Lierse SK,5,2,0,3,6:12,-6,4:6
60/61,5.speeldag,13,Antwerp FC,5,1,1,3,6:8,-2,3:7
60/61,5.speeldag,14,St-Truidense VV,5,1,1,3,4:10,-6,3:7
60/61,5.speeldag,15,K Patro Eisden,5,0,1,4,2:10,-8,1:9
60/61,5.speeldag,16,Verviétois,5,0,1,4,4:14,-10,1:9
60/61,6.speeldag,1,Standard Luik,6,4,2,0,13:2,11,10:2
60/61,6.speeldag,2,RFC Luik,6,4,2,0,9:5,4,10:2
60/61,6.speeldag,3,Daring Club,6,4,1,1,14:10,4,9:3
60/61,6.speeldag,4,RSC Anderlecht,6,3,2,1,18:6,12,8:4
60/61,6.speeldag,5,Eendracht Aalst,6,3,1,2,12:10,2,7:5
60/61,6.speeldag,6,Union SG,6,3,0,3,11:7,4,6:6
60/61,6.speeldag,6,Waterschei THOR,6,2,2,2,11:7,4,6:6
60/61,6.speeldag,8,ARA Gent,6,2,2,2,11:8,3,6:6
60/61,6.speeldag,9,Club Brugge,6,1,4,1,6:6,0,6:6
60/61,6.speeldag,10,Beerschot AC,6,3,0,3,9:11,-2,6:6
60/61,6.speeldag,11,Olymp. Charleroi,6,2,2,2,7:11,-4,6:6
60/61,6.speeldag,12,Antwerp FC,6,1,2,3,8:10,-2,4:8
60/61,6.speeldag,13,Lierse SK,6,2,0,4,6:16,-10,4:8
60/61,6.speeldag,14,Verviétois,6,1,1,4,5:14,-9,3:9
60/61,6.speeldag,15,St-Truidense VV,6,1,1,4,4:13,-9,3:9
60/61,6.speeldag,16,K Patro Eisden,6,0,2,4,4:12,-8,2:10
60/61,7.speeldag,1,Standard Luik,7,5,2,0,15:3,12,12:2
60/61,7.speeldag,2,Daring Club,7,4,2,1,14:10,4,10:4
60/61,7.speeldag,3,RFC Luik,7,4,2,1,9:6,3,10:4
60/61,7.speeldag,4,Eendracht Aalst,7,4,1,2,15:11,4,9:5
60/61,7.speeldag,5,RSC Anderlecht,7,3,2,2,19:8,11,8:6
60/61,7.speeldag,6,Union SG,7,4,0,3,12:7,5,8:6
60/61,7.speeldag,7,Beerschot AC,7,3,1,3,9:11,-2,7:7
60/61,7.speeldag,8,Waterschei THOR,7,2,2,3,12:9,3,6:8
60/61,7.speeldag,9,ARA Gent,7,2,2,3,11:9,2,6:8
60/61,7.speeldag,10,Antwerp FC,7,2,2,3,12:11,1,6:8
60/61,7.speeldag,11,Club Brugge,7,1,4,2,7:9,-2,6:8
60/61,7.speeldag,12,Olymp. Charleroi,7,2,2,3,7:12,-5,6:8
60/61,7.speeldag,13,Lierse SK,7,3,0,4,7:16,-9,6:8
60/61,7.speeldag,14,St-Truidense VV,7,2,1,4,5:13,-8,5:9
60/61,7.speeldag,15,K Patro Eisden,7,1,2,4,6:13,-7,4:10
60/61,7.speeldag,16,Verviétois,7,1,1,5,6:18,-12,3:11
60/61,8.speeldag,1,Standard Luik,8,6,2,0,17:4,13,14:2
60/61,8.speeldag,2,Eendracht Aalst,8,5,1,2,17:12,5,11:5
60/61,8.speeldag,3,RFC Luik,8,4,3,1,10:7,3,11:5
60/61,8.speeldag,4,Union SG,8,5,0,3,15:8,7,10:6
60/61,8.speeldag,5,Daring Club,8,4,2,2,15:13,2,10:6
60/61,8.speeldag,6,RSC Anderlecht,8,3,3,2,21:10,11,9:7
60/61,8.speeldag,7,Waterschei THOR,8,3,2,3,15:10,5,8:8
60/61,8.speeldag,8,Olymp. Charleroi,8,3,2,3,8:12,-4,8:8
60/61,8.speeldag,9,Lierse SK,8,4,0,4,9:16,-7,8:8
60/61,8.speeldag,10,Club Brugge,8,1,5,2,8:10,-2,7:9
60/61,8.speeldag,11,Beerschot AC,8,3,1,4,10:13,-3,7:9
60/61,8.speeldag,12,ARA Gent,8,2,2,4,12:11,1,6:10
60/61,8.speeldag,13,Antwerp FC,8,2,2,4,13:14,-1,6:10
60/61,8.speeldag,14,St-Truidense VV,8,2,1,5,5:15,-10,5:11
60/61,8.speeldag,15,K Patro Eisden,8,1,2,5,6:14,-8,4:12
60/61,8.speeldag,16,Verviétois,8,1,2,5,8:20,-12,4:12
60/61,9.speeldag,1,Standard Luik,9,7,2,0,19:5,14,16:2
60/61,9.speeldag,2,Eendracht Aalst,9,6,1,2,20:13,7,13:5
60/61,9.speeldag,3,RFC Luik,9,5,3,1,11:7,4,13:5
60/61,9.speeldag,4,RSC Anderlecht,9,4,3,2,23:10,13,11:7
60/61,9.speeldag,5,Union SG,9,5,0,4,15:10,5,10:8
60/61,9.speeldag,6,Daring Club,9,4,2,3,17:17,0,10:8
60/61,9.speeldag,7,Club Brugge,9,2,5,2,12:12,0,9:9
60/61,9.speeldag,8,Beerschot AC,9,4,1,4,11:13,-2,9:9
60/61,9.speeldag,9,Olymp. Charleroi,9,3,3,3,9:13,-4,9:9
60/61,9.speeldag,10,Waterschei THOR,9,3,2,4,16:13,3,8:10
60/61,9.speeldag,11,ARA Gent,9,3,2,4,15:12,3,8:10
60/61,9.speeldag,12,Lierse SK,9,4,0,5,10:18,-8,8:10
60/61,9.speeldag,13,Antwerp FC,9,2,2,5,14:17,-3,6:12
60/61,9.speeldag,14,St-Truidense VV,9,2,2,5,6:16,-10,6:12
60/61,9.speeldag,15,K Patro Eisden,9,1,2,6,6:15,-9,4:14
60/61,9.speeldag,16,Verviétois,9,1,2,6,8:21,-13,4:14
60/61,10.speeldag,1,Standard Luik,10,7,2,1,20:7,13,16:4
60/61,10.speeldag,2,RFC Luik,10,6,3,1,14:8,6,15:5
60/61,10.speeldag,3,RSC Anderlecht,10,5,3,2,26:12,14,13:7
60/61,10.speeldag,4,Eendracht Aalst,10,6,1,3,22:22,0,13:7
60/61,10.speeldag,5,Daring Club,10,5,2,3,19:17,2,12:8
60/61,10.speeldag,6,Beerschot AC,10,5,1,4,20:15,5,11:9
60/61,10.speeldag,7,Olymp. Charleroi,10,4,3,3,12:13,-1,11:9
60/61,10.speeldag,8,Waterschei THOR,10,4,2,4,18:14,4,10:10
60/61,10.speeldag,9,ARA Gent,10,4,2,4,17:13,4,10:1
60/61,10.speeldag,09,Union SG,10,5,0,5,17:13,4,10:10
60/61,10.speeldag,11,Lierse SK,10,5,0,5,13:20,-7,10:10
60/61,10.speeldag,12,Club Brugge,10,2,5,3,12:15,-3,9:11
60/61,10.speeldag,13,Antwerp FC,10,2,2,6,16:20,-4,6:14
60/61,10.speeldag,14,St-Truidense VV,10,2,2,6,7:18,-11,6:14
60/61,10.speeldag,15,K Patro Eisden,10,1,2,7,7:18,-11,4:16
60/61,10.speeldag,16,Verviétois,10,1,2,7,8:23,-15,4:16
60/61,11.speeldag,1,Standard Luik,11,7,3,1,20:7,13,17:5
60/61,11.speeldag,2,RFC Luik,11,7,3,1,17:10,7,17:5
60/61,11.speeldag,3,RSC Anderlecht,11,6,3,2,27:12,15,15:7
60/61,11.speeldag,4,Eendracht Aalst,11,7,1,3,24:22,2,15:7
60/61,11.speeldag,5,Waterschei THOR,11,5,2,4,23:14,9,12:10
60/61,11.speeldag,6,Daring Club,11,5,2,4,19:18,1,12:10
60/61,11.speeldag,7,Beerschot AC,11,5,1,5,22:18,4,11:11
60/61,11.speeldag,8,ARA Gent,11,4,3,4,19:15,4,11:11
60/61,11.speeldag,9,Union SG,11,5,1,5,17:13,4,11:11
60/61,11.speeldag,10,Club Brugge,11,3,5,3,14:15,-1,11:11
60/61,11.speeldag,11,Olymp. Charleroi,11,4,3,4,12:18,-6,11:11
60/61,11.speeldag,12,Lierse SK,11,5,0,6,14:22,-8,10:12
60/61,11.speeldag,13,Antwerp FC,11,3,2,6,18:21,-3,8:14
60/61,11.speeldag,14,St-Truidense VV,11,2,2,7,7:20,-13,6:16
60/61,11.speeldag,15,Verviétois,11,1,3,7,10:25,-15,5:17
60/61,11.speeldag,16,K Patro Eisden,11,1,2,8,7:20,-13,4:18
60/61,12.speeldag,1,RFC Luik,12,7,4,1,19:12,7,18:6
60/61,12.speeldag,2,RSC Anderlecht,12,7,3,2,28:12,16,17:7
60/61,12.speeldag,3,Standard Luik,12,7,3,2,21:9,12,17:7
60/61,12.speeldag,4,Eendracht Aalst,12,7,2,3,26:24,2,16:8
60/61,12.speeldag,5,Waterschei THOR,12,6,2,4,25:15,10,14:10
60/61,12.speeldag,6,Beerschot AC,12,6,1,5,25:19,6,13:11
60/61,12.speeldag,7,ARA Gent,12,5,3,4,20:15,5,13:11
60/61,12.speeldag,8,Daring Club,12,5,2,5,19:19,0,12:12
60/61,12.speeldag,9,Union SG,12,5,1,6,18:16,2,11:13
60/61,12.speeldag,10,Club Brugge,12,3,5,4,14:16,-2,11:13
60/61,12.speeldag,11,Olymp. Charleroi,12,4,3,5,12:19,-7,11:13
60/61,12.speeldag,12,Antwerp FC,12,4,2,6,19:21,-2,10:14
60/61,12.speeldag,13,Lierse SK,12,5,0,7,14:24,-10,10:14
60/61,12.speeldag,14,St-Truidense VV,12,3,2,7,8:20,-12,8:16
60/61,12.speeldag,15,Verviétois,12,2,3,7,12:25,-13,7:17
60/61,12.speeldag,16,K Patro Eisden,12,1,2,9,7:21,-14,4:20
60/61,13.speeldag,1,RFC Luik,13,7,5,1,20:13,7,19:7
60/61,13.speeldag,2,RSC Anderlecht,13,7,4,2,28:12,16,18:8
60/61,13.speeldag,3,Standard Luik,13,7,3,3,22:12,10,17:9
60/61,13.speeldag,4,Waterschei THOR,13,7,2,4,29:15,14,16:10
60/61,13.speeldag,5,Eendracht Aalst,13,7,2,4,27:27,0,16:10
60/61,13.speeldag,6,Beerschot AC,13,6,2,5,26:20,6,14:12
60/61,13.speeldag,7,ARA Gent,13,5,4,4,21:16,5,14:12
60/61,13.speeldag,8,Daring Club,13,6,2,5,22:20,2,14:12
60/61,13.speeldag,9,Club Brugge,13,3,6,4,14:16,-2,12:14
60/61,13.speeldag,10,Olymp. Charleroi,13,4,4,5,12:19,-7,12:14
60/61,13.speeldag,11,Lierse SK,13,6,0,7,17:25,-8,12:14
60/61,13.speeldag,12,Antwerp FC,13,4,3,6,20:22,-2,11:15
60/61,13.speeldag,13,Union SG,13,5,1,7,18:20,-2,11:15
60/61,13.speeldag,14,St-Truidense VV,13,3,3,7,9:21,-12,9:17
60/61,13.speeldag,15,Verviétois,13,2,4,7,12:25,-13,8:18
60/61,13.speeldag,16,K Patro Eisden,13,1,3,9,8:22,-14,5:21
60/61,14.speeldag,1,RFC Luik,14,7,6,1,21:14,7,20:8
60/61,14.speeldag,2,RSC Anderlecht,14,7,4,3,28:13,15,18:10
60/61,14.speeldag,3,Standard Luik,14,7,4,3,24:14,10,18:10
60/61,14.speeldag,4,Eendracht Aalst,14,7,3,4,28:28,0,17:11
60/61,14.speeldag,5,Waterschei THOR,14,7,2,5,29:18,11,16:12
60/61,14.speeldag,6,Beerschot AC,14,7,2,5,27:20,7,16:12
60/61,14.speeldag,7,Daring Club,14,7,2,5,25:20,5,16:12
60/61,14.speeldag,8,ARA Gent,14,5,4,5,22:19,3,14:14
60/61,14.speeldag,9,Union SG,14,6,1,7,21:21,0,13:15
60/61,14.speeldag,10,Club Brugge,14,3,7,4,16:18,-2,13:15
60/61,14.speeldag,11,Olymp. Charleroi,14,4,5,5,13:20,-7,13:15
60/61,14.speeldag,12,Lierse SK,14,6,1,7,18:26,-8,13:15
60/61,14.speeldag,13,Antwerp FC,14,4,3,7,20:23,-3,11:17
60/61,14.speeldag,14,St-Truidense VV,14,4,3,7,10:21,-11,11:17
60/61,14.speeldag,15,Verviétois,14,2,4,8,14:28,-14,8:20
60/61,14.speeldag,16,K Patro Eisden,14,2,3,9,11:24,-13,7:21
60/61,15.speeldag,1,RFC Luik,15,7,7,1,22:15,7,21:9
60/61,15.speeldag,2,Standard Luik,15,8,4,3,28:15,13,20:10
60/61,15.speeldag,3,RSC Anderlecht,15,7,4,4,28:18,10,18:12
60/61,15.speeldag,4,Beerschot AC,15,8,2,5,30:22,8,18:12
60/61,15.speeldag,5,Daring Club,15,8,2,5,27:21,6,18:12
60/61,15.speeldag,6,Eendracht Aalst,15,7,3,5,29:30,-1,17:13
60/61,15.speeldag,7,Waterschei THOR,15,7,2,6,31:21,10,16:14
60/61,15.speeldag,8,ARA Gent,15,6,4,5,27:19,8,16:14
60/61,15.speeldag,9,Union SG,15,7,1,7,25:21,4,15:15
60/61,15.speeldag,10,Club Brugge,15,4,7,4,20:19,1,15:15
60/61,15.speeldag,11,Olymp. Charleroi,15,4,6,5,14:21,-7,14:16
60/61,15.speeldag,12,St-Truidense VV,15,5,3,7,13:22,-9,13:17
60/61,15.speeldag,13,Lierse SK,15,6,1,8,19:30,-11,13:17
60/61,15.speeldag,14,Antwerp FC,15,4,3,8,21:27,-6,11:19
60/61,15.speeldag,15,Verviétois,15,2,4,9,15:31,-16,8:22
60/61,15.speeldag,16,K Patro Eisden,15,2,3,10,11:28,-17,7:23
60/61,16.speeldag,1,Standard Luik,16,9,4,3,29:15,14,22:10
60/61,16.speeldag,2,RFC Luik,16,7,8,1,23:16,7,22:10
60/61,16.speeldag,3,Daring Club,16,9,2,5,28:21,7,20:12
60/61,16.speeldag,4,RSC Anderlecht,16,7,5,4,29:19,10,19:13
60/61,16.speeldag,5,Beerschot AC,16,8,3,5,30:22,8,19:13
60/61,16.speeldag,6,ARA Gent,16,6,5,5,28:20,8,17:15
60/61,16.speeldag,7,Union SG,16,8,1,7,29:22,7,17:15
60/61,16.speeldag,8,Eendracht Aalst,16,7,3,6,30:35,-5,17:15
60/61,16.speeldag,9,Waterschei THOR,16,7,2,7,32:24,8,16:16
60/61,16.speeldag,10,Club Brugge,16,4,7,5,21:23,-2,15:17
60/61,16.speeldag,11,Olymp. Charleroi,16,4,7,5,15:22,-7,15:17
60/61,16.speeldag,12,Lierse SK,16,7,1,8,22:31,-9,15:17
60/61,16.speeldag,13,Antwerp FC,16,5,3,8,26:28,-2,13:19
60/61,16.speeldag,14,St-Truidense VV,16,5,3,8,13:23,-10,13:19
60/61,16.speeldag,15,Verviétois,16,2,5,9,15:31,-16,9:23
60/61,16.speeldag,16,K Patro Eisden,16,2,3,11,11:29,-18,7:25
60/61,17.speeldag,1,Standard Luik,17,9,5,3,32:18,14,23:11
60/61,17.speeldag,2,RFC Luik,17,7,9,1,23:16,7,23:11
60/61,17.speeldag,3,Beerschot AC,17,9,3,5,32:22,10,21:13
60/61,17.speeldag,4,Daring Club,17,9,3,5,29:22,7,21:13
60/61,17.speeldag,5,RSC Anderlecht,17,7,6,4,29:19,10,20:14
60/61,17.speeldag,6,Waterschei THOR,17,8,2,7,36:24,12,18:16
60/61,17.speeldag,7,Eendracht Aalst,17,7,4,6,33:38,-5,18:16
60/61,17.speeldag,8,Union SG,17,8,1,8,29:23,6,17:17
60/61,17.speeldag,9,ARA Gent,17,6,5,6,28:22,6,17:17
60/61,17.speeldag,10,Club Brugge,17,5,7,5,24:24,0,17:17
60/61,17.speeldag,11,Olymp. Charleroi,17,4,8,5,15:22,-7,16:18
60/61,17.speeldag,12,Lierse SK,17,7,2,8,22:31,-9,16:18
60/61,17.speeldag,13,St-Truidense VV,17,6,3,8,14:23,-9,15:19
60/61,17.speeldag,14,Antwerp FC,17,5,4,8,27:29,-2,14:20
60/61,17.speeldag,15,Verviétois,17,2,5,10,15:35,-20,9:25
60/61,17.speeldag,16,K Patro Eisden,17,2,3,12,12:32,-20,7:27
60/61,18.speeldag,1,Standard Luik,18,10,5,3,34:18,16,25:11
60/61,18.speeldag,2,Daring Club,18,10,3,5,30:22,8,23:13
60/61,18.speeldag,3,RFC Luik,18,7,9,2,23:17,6,23:13
60/61,18.speeldag,4,RSC Anderlecht,18,8,6,4,36:19,17,22:14
60/61,18.speeldag,5,Beerschot AC,18,9,4,5,33:23,10,22:14
60/61,18.speeldag,6,Waterschei THOR,18,9,2,7,37:24,13,20:16
60/61,18.speeldag,7,Club Brugge,18,6,7,5,27:24,3,19:17
60/61,18.speeldag,8,Eendracht Aalst,18,7,4,7,33:45,-12,18:18
60/61,18.speeldag,9,ARA Gent,18,6,5,7,28:23,5,17:19
60/61,18.speeldag,10,Union SG,18,8,1,9,30:26,4,17:19
60/61,18.speeldag,11,Lierse SK,18,7,3,8,23:32,-9,17:19
60/61,18.speeldag,12,Antwerp FC,18,6,4,8,30:30,0,16:20
60/61,18.speeldag,13,Olymp. Charleroi,18,4,8,6,15:24,-9,16:20
60/61,18.speeldag,14,St-Truidense VV,18,6,4,8,14:23,-9,16:20
60/61,18.speeldag,15,Verviétois,18,2,5,11,15:38,-23,9:27
60/61,18.speeldag,16,K Patro Eisden,18,2,4,12,12:32,-20,8:28
60/61,19.speeldag,1,Standard Luik,19,11,5,3,38:18,20,27:11
60/61,19.speeldag,2,RFC Luik,19,8,9,2,32:17,15,25:13
60/61,19.speeldag,3,RSC Anderlecht,19,9,6,4,40:21,19,24:14
60/61,19.speeldag,4,Beerschot AC,19,10,4,5,36:24,12,24:14
60/61,19.speeldag,5,Daring Club,19,10,4,5,32:24,8,24:14
60/61,19.speeldag,6,Waterschei THOR,19,9,2,8,39:28,11,20:18
60/61,19.speeldag,7,Club Brugge,19,6,8,5,28:25,3,20:18
60/61,19.speeldag,8,Eendracht Aalst,19,8,4,7,34:45,-11,20:18
60/61,19.speeldag,9,St-Truidense VV,19,7,4,8,17:25,-8,18:20
60/61,19.speeldag,10,Lierse SK,19,7,4,8,25:34,-9,18:20
60/61,19.speeldag,11,ARA Gent,19,6,5,8,30:26,4,17:21
60/61,19.speeldag,12,Antwerp FC,19,6,5,8,31:31,0,17:21
60/61,19.speeldag,13,Union SG,19,8,1,10,30:35,-5,17:21
60/61,19.speeldag,14,Olymp. Charleroi,19,4,8,7,16:27,-11,16:22
60/61,19.speeldag,15,Verviétois,19,2,5,12,15:39,-24,9:29
60/61,19.speeldag,16,K Patro Eisden,19,2,4,13,12:36,-24,8:30
60/61,20.speeldag,1,Standard Luik,20,11,6,3,41:21,20,28:12
60/61,20.speeldag,2,RSC Anderlecht,20,10,6,4,41:21,20,26:14
60/61,20.speeldag,3,RFC Luik,20,8,10,2,32:17,15,26:14
60/61,20.speeldag,4,Daring Club,20,10,5,5,32:24,8,25:15
60/61,20.speeldag,5,Beerschot AC,20,10,4,6,36:27,9,24:16
60/61,20.speeldag,6,Waterschei THOR,20,10,2,8,41:29,12,22:18
60/61,20.speeldag,7,Eendracht Aalst,20,9,4,7,36:45,-9,22:18
60/61,20.speeldag,8,Club Brugge,20,6,8,6,29:27,2,20:20
60/61,20.speeldag,9,Lierse SK,20,8,4,8,26:34,-8,20:20
60/61,20.speeldag,10,Antwerp FC,20,7,5,8,34:31,3,19:21
60/61,20.speeldag,11,ARA Gent,20,6,6,8,31:27,4,18:22
60/61,20.speeldag,12,St-Truidense VV,20,7,4,9,17:26,-9,18:22
60/61,20.speeldag,13,Union SG,20,8,1,11,30:37,-7,17:23
60/61,20.speeldag,14,Olymp. Charleroi,20,4,9,7,17:28,-11,17:23
60/61,20.speeldag,15,Verviétois,20,2,6,12,18:42,-24,10:30
60/61,20.speeldag,16,K Patro Eisden,20,2,4,14,12:37,-25,8:32
60/61,21.speeldag,1,Standard Luik,21,12,6,3,43:21,22,30:12
60/61,21.speeldag,2,RSC Anderlecht,21,11,6,4,43:22,21,28:14
60/61,21.speeldag,3,RFC Luik,21,8,10,3,32:19,13,26:16
60/61,21.speeldag,4,Daring Club,21,10,6,5,33:25,8,26:16
60/61,21.speeldag,5,Beerschot AC,21,10,4,7,38:30,8,24:18
60/61,21.speeldag,6,Eendracht Aalst,21,9,5,7,38:47,-9,23:19
60/61,21.speeldag,7,Waterschei THOR,21,10,2,9,43:33,10,22:20
60/61,21.speeldag,8,Club Brugge,21,7,8,6,32:29,3,22:20
60/61,21.speeldag,9,ARA Gent,21,7,6,8,35:29,6,20:22
60/61,21.speeldag,10,Lierse SK,21,8,4,9,27:36,-9,20:22
60/61,21.speeldag,11,Antwerp FC,21,7,5,9,34:33,1,19:23
60/61,21.speeldag,12,Union SG,21,9,1,11,31:37,-6,19:23
60/61,21.speeldag,13,St-Truidense VV,21,7,5,9,19:28,-9,19:23
60/61,21.speeldag,14,Olymp. Charleroi,21,4,10,7,18:29,-11,18:24
60/61,21.speeldag,15,K Patro Eisden,21,3,4,14,14:37,-23,10:32
60/61,21.speeldag,16,Verviétois,21,2,6,13,18:43,-25,10:32
60/61,22.speeldag,1,Standard Luik,22,12,7,3,44:22,22,31:13
60/61,22.speeldag,2,RSC Anderlecht,22,11,7,4,44:23,21,29:15
60/61,22.speeldag,3,RFC Luik,22,9,10,3,33:19,14,28:16
60/61,22.speeldag,4,Beerschot AC,22,11,4,7,40:31,9,26:18
60/61,22.speeldag,5,Daring Club,22,10,6,6,34:27,7,26:18
60/61,22.speeldag,6,Eendracht Aalst,22,9,6,7,40:49,-9,24:20
60/61,22.speeldag,7,Club Brugge,22,7,9,6,34:31,3,23:21
60/61,22.speeldag,8,Waterschei THOR,22,10,2,10,43:35,8,22:22
60/61,22.speeldag,9,ARA Gent,22,7,7,8,36:30,6,21:23
60/61,22.speeldag,10,Lierse SK,22,8,5,9,28:37,-9,21:23
60/61,22.speeldag,11,Antwerp FC,22,7,6,9,36:35,1,20:24
60/61,22.speeldag,12,Olymp. Charleroi,22,5,10,7,19:29,-10,20:24
60/61,22.speeldag,13,Union SG,22,9,1,12,31:38,-7,19:25
60/61,22.speeldag,14,St-Truidense VV,22,7,5,10,19:29,-10,19:25
60/61,22.speeldag,15,K Patro Eisden,22,4,4,14,16:37,-21,12:32
60/61,22.speeldag,16,Verviétois,22,2,7,13,20:45,-25,11:33
60/61,23.speeldag,1,Standard Luik,23,13,7,3,45:22,23,33:13
